interaction_id,customer_id,product_id,interaction_type,interaction_date
1,107,401,view,2023-01-01 00:00:00
2,858,157,view,2023-01-01 03:00:00
3,364,81,wishlist,2023-01-01 06:00:00
4,642,100,wishlist,2023-01-01 09:00:00
5,811,83,click,2023-01-01 12:00:00
6,493,218,add_to_cart,2023-01-01 15:00:00
7,43,372,click,2023-01-01 18:00:00
8,575,237,click,2023-01-01 21:00:00
9,73,125,add_to_cart,2023-01-02 00:00:00
10,698,201,add_to_cart,2023-01-02 03:00:00
11,629,2,click,2023-01-02 06:00:00
12,304,62,click,2023-01-02 09:00:00
13,5,20,click,2023-01-02 12:00:00
14,987,471,wishlist,2023-01-02 15:00:00
15,588,210,add_to_cart,2023-01-02 18:00:00
16,803,440,add_to_cart,2023-01-02 21:00:00
17,349,346,view,2023-01-03 00:00:00
18,400,180,wishlist,2023-01-03 03:00:00
19,595,409,wishlist,2023-01-03 06:00:00
20,433,62,add_to_cart,2023-01-03 09:00:00
21,572,273,wishlist,2023-01-03 12:00:00
22,107,295,click,2023-01-03 15:00:00
23,117,241,add_to_cart,2023-01-03 18:00:00
24,819,251,add_to_cart,2023-01-03 21:00:00
25,383,10,wishlist,2023-01-04 00:00:00
26,859,187,add_to_cart,2023-01-04 03:00:00
27,82,409,wishlist,2023-01-04 06:00:00
28,827,110,wishlist,2023-01-04 09:00:00
29,832,28,wishlist,2023-01-04 12:00:00
30,873,474,click,2023-01-04 15:00:00
31,653,460,wishlist,2023-01-04 18:00:00
32,734,61,wishlist,2023-01-04 21:00:00
33,410,58,view,2023-01-05 00:00:00
34,70,300,view,2023-01-05 03:00:00
35,387,497,click,2023-01-05 06:00:00
36,983,339,click,2023-01-05 09:00:00
37,524,252,wishlist,2023-01-05 12:00:00
38,297,407,view,2023-01-05 15:00:00
39,617,462,click,2023-01-05 18:00:00
40,719,256,add_to_cart,2023-01-05 21:00:00
41,65,381,add_to_cart,2023-01-06 00:00:00
42,575,145,wishlist,2023-01-06 03:00:00
43,178,79,view,2023-01-06 06:00:00
44,943,341,add_to_cart,2023-01-06 09:00:00
45,8,294,view,2023-01-06 12:00:00
46,159,286,click,2023-01-06 15:00:00
47,11,403,view,2023-01-06 18:00:00
48,785,288,wishlist,2023-01-06 21:00:00
49,411,477,view,2023-01-07 00:00:00
50,892,214,add_to_cart,2023-01-07 03:00:00
51,607,20,view,2023-01-07 06:00:00
52,155,358,view,2023-01-07 09:00:00
53,206,230,view,2023-01-07 12:00:00
54,115,64,click,2023-01-07 15:00:00
55,379,36,wishlist,2023-01-07 18:00:00
56,599,449,add_to_cart,2023-01-07 21:00:00
57,824,211,add_to_cart,2023-01-08 00:00:00
58,709,171,view,2023-01-08 03:00:00
59,350,26,view,2023-01-08 06:00:00
60,98,263,click,2023-01-08 09:00:00
61,943,290,wishlist,2023-01-08 12:00:00
62,19,164,add_to_cart,2023-01-08 15:00:00
63,313,390,wishlist,2023-01-08 18:00:00
64,927,421,add_to_cart,2023-01-08 21:00:00
65,528,62,view,2023-01-09 00:00:00
66,557,86,click,2023-01-09 03:00:00
67,667,73,click,2023-01-09 06:00:00
68,445,491,view,2023-01-09 09:00:00
69,922,384,view,2023-01-09 12:00:00
70,231,60,view,2023-01-09 15:00:00
71,669,477,wishlist,2023-01-09 18:00:00
72,625,320,view,2023-01-09 21:00:00
73,889,178,wishlist,2023-01-10 00:00:00
74,359,52,view,2023-01-10 03:00:00
75,383,145,click,2023-01-10 06:00:00
76,512,316,wishlist,2023-01-10 09:00:00
77,44,77,click,2023-01-10 12:00:00
78,365,119,view,2023-01-10 15:00:00
79,925,209,view,2023-01-10 18:00:00
80,877,182,add_to_cart,2023-01-10 21:00:00
81,622,138,wishlist,2023-01-11 00:00:00
82,111,125,wishlist,2023-01-11 03:00:00
83,223,153,wishlist,2023-01-11 06:00:00
84,386,18,wishlist,2023-01-11 09:00:00
85,902,64,click,2023-01-11 12:00:00
86,265,497,wishlist,2023-01-11 15:00:00
87,271,236,click,2023-01-11 18:00:00
88,212,79,view,2023-01-11 21:00:00
89,496,59,click,2023-01-12 00:00:00
90,314,411,wishlist,2023-01-12 03:00:00
91,770,251,click,2023-01-12 06:00:00
92,387,314,wishlist,2023-01-12 09:00:00
93,247,61,click,2023-01-12 12:00:00
94,948,467,add_to_cart,2023-01-12 15:00:00
95,567,118,wishlist,2023-01-12 18:00:00
96,821,79,click,2023-01-12 21:00:00
97,350,237,wishlist,2023-01-13 00:00:00
98,72,327,view,2023-01-13 03:00:00
99,296,171,click,2023-01-13 06:00:00
100,213,488,click,2023-01-13 09:00:00
101,295,244,add_to_cart,2023-01-13 12:00:00
102,171,208,wishlist,2023-01-13 15:00:00
103,246,344,click,2023-01-13 18:00:00
104,141,87,add_to_cart,2023-01-13 21:00:00
105,616,139,add_to_cart,2023-01-14 00:00:00
106,617,88,add_to_cart,2023-01-14 03:00:00
107,240,133,wishlist,2023-01-14 06:00:00
108,933,442,wishlist,2023-01-14 09:00:00
109,311,39,click,2023-01-14 12:00:00
110,416,176,wishlist,2023-01-14 15:00:00
111,398,478,wishlist,2023-01-14 18:00:00
112,833,80,view,2023-01-14 21:00:00
113,923,20,wishlist,2023-01-15 00:00:00
114,792,221,view,2023-01-15 03:00:00
115,883,337,click,2023-01-15 06:00:00
116,881,275,add_to_cart,2023-01-15 09:00:00
117,22,188,view,2023-01-15 12:00:00
118,78,154,click,2023-01-15 15:00:00
119,813,463,view,2023-01-15 18:00:00
120,904,409,wishlist,2023-01-15 21:00:00
121,475,143,click,2023-01-16 00:00:00
122,707,251,add_to_cart,2023-01-16 03:00:00
123,832,212,view,2023-01-16 06:00:00
124,353,478,wishlist,2023-01-16 09:00:00
125,371,149,click,2023-01-16 12:00:00
126,943,175,wishlist,2023-01-16 15:00:00
127,21,419,click,2023-01-16 18:00:00
128,507,172,view,2023-01-16 21:00:00
129,160,134,click,2023-01-17 00:00:00
130,744,116,view,2023-01-17 03:00:00
131,361,357,click,2023-01-17 06:00:00
132,813,203,wishlist,2023-01-17 09:00:00
133,556,407,wishlist,2023-01-17 12:00:00
134,297,492,view,2023-01-17 15:00:00
135,352,295,add_to_cart,2023-01-17 18:00:00
136,180,457,view,2023-01-17 21:00:00
137,472,146,wishlist,2023-01-18 00:00:00
138,395,238,click,2023-01-18 03:00:00
139,613,228,add_to_cart,2023-01-18 06:00:00
140,627,255,wishlist,2023-01-18 09:00:00
141,213,424,add_to_cart,2023-01-18 12:00:00
142,530,496,view,2023-01-18 15:00:00
143,395,292,wishlist,2023-01-18 18:00:00
144,27,156,view,2023-01-18 21:00:00
145,939,448,wishlist,2023-01-19 00:00:00
146,870,339,wishlist,2023-01-19 03:00:00
147,449,350,view,2023-01-19 06:00:00
148,438,442,wishlist,2023-01-19 09:00:00
149,285,422,add_to_cart,2023-01-19 12:00:00
150,661,243,add_to_cart,2023-01-19 15:00:00
151,797,207,view,2023-01-19 18:00:00
152,649,428,click,2023-01-19 21:00:00
153,189,254,add_to_cart,2023-01-20 00:00:00
154,702,460,wishlist,2023-01-20 03:00:00
155,199,258,view,2023-01-20 06:00:00
156,102,73,click,2023-01-20 09:00:00
157,479,35,view,2023-01-20 12:00:00
158,603,129,add_to_cart,2023-01-20 15:00:00
159,224,430,wishlist,2023-01-20 18:00:00
160,517,188,add_to_cart,2023-01-20 21:00:00
161,865,319,view,2023-01-21 00:00:00
162,527,95,wishlist,2023-01-21 03:00:00
163,441,220,click,2023-01-21 06:00:00
164,517,301,add_to_cart,2023-01-21 09:00:00
165,916,125,view,2023-01-21 12:00:00
166,230,185,wishlist,2023-01-21 15:00:00
167,869,37,view,2023-01-21 18:00:00
168,849,263,click,2023-01-21 21:00:00
169,114,110,click,2023-01-22 00:00:00
170,516,400,add_to_cart,2023-01-22 03:00:00
171,184,178,click,2023-01-22 06:00:00
172,725,142,click,2023-01-22 09:00:00
173,759,481,add_to_cart,2023-01-22 12:00:00
174,34,134,view,2023-01-22 15:00:00
175,296,445,add_to_cart,2023-01-22 18:00:00
176,453,149,add_to_cart,2023-01-22 21:00:00
177,708,394,wishlist,2023-01-23 00:00:00
178,505,288,click,2023-01-23 03:00:00
179,406,390,click,2023-01-23 06:00:00
180,127,258,view,2023-01-23 09:00:00
181,142,39,click,2023-01-23 12:00:00
182,964,305,view,2023-01-23 15:00:00
183,648,283,wishlist,2023-01-23 18:00:00
184,128,312,view,2023-01-23 21:00:00
185,835,14,view,2023-01-24 00:00:00
186,686,407,wishlist,2023-01-24 03:00:00
187,925,359,add_to_cart,2023-01-24 06:00:00
188,730,374,wishlist,2023-01-24 09:00:00
189,626,378,click,2023-01-24 12:00:00
190,887,469,click,2023-01-24 15:00:00
191,350,361,wishlist,2023-01-24 18:00:00
192,524,435,view,2023-01-24 21:00:00
193,463,478,wishlist,2023-01-25 00:00:00
194,244,281,click,2023-01-25 03:00:00
195,564,53,wishlist,2023-01-25 06:00:00
196,186,472,view,2023-01-25 09:00:00
197,233,11,click,2023-01-25 12:00:00
198,514,163,add_to_cart,2023-01-25 15:00:00
199,1,183,wishlist,2023-01-25 18:00:00
200,239,186,wishlist,2023-01-25 21:00:00
201,55,452,wishlist,2023-01-26 00:00:00
202,495,37,wishlist,2023-01-26 03:00:00
203,732,484,click,2023-01-26 06:00:00
204,616,461,view,2023-01-26 09:00:00
205,867,9,add_to_cart,2023-01-26 12:00:00
206,418,28,wishlist,2023-01-26 15:00:00
207,448,311,click,2023-01-26 18:00:00
208,836,174,wishlist,2023-01-26 21:00:00
209,338,464,add_to_cart,2023-01-27 00:00:00
210,908,127,wishlist,2023-01-27 03:00:00
211,818,70,view,2023-01-27 06:00:00
212,277,283,wishlist,2023-01-27 09:00:00
213,10,266,wishlist,2023-01-27 12:00:00
214,341,151,wishlist,2023-01-27 15:00:00
215,104,149,view,2023-01-27 18:00:00
216,345,218,click,2023-01-27 21:00:00
217,370,429,view,2023-01-28 00:00:00
218,977,126,click,2023-01-28 03:00:00
219,883,3,view,2023-01-28 06:00:00
220,198,187,view,2023-01-28 09:00:00
221,14,43,wishlist,2023-01-28 12:00:00
222,997,99,view,2023-01-28 15:00:00
223,680,263,click,2023-01-28 18:00:00
224,872,411,click,2023-01-28 21:00:00
225,338,190,click,2023-01-29 00:00:00
226,542,42,click,2023-01-29 03:00:00
227,457,97,view,2023-01-29 06:00:00
228,526,260,wishlist,2023-01-29 09:00:00
229,750,218,add_to_cart,2023-01-29 12:00:00
230,436,446,click,2023-01-29 15:00:00
231,366,136,view,2023-01-29 18:00:00
232,401,340,wishlist,2023-01-29 21:00:00
233,574,145,view,2023-01-30 00:00:00
234,482,5,click,2023-01-30 03:00:00
